timestamp,time for refresh
2019-10-24_0900,0:02:02.421767
2019-10-24_1000,0:02:02.325306
2019-10-24_1100,0:02:02.735158
2019-10-24_1200,0:02:02.736559
2019-10-24_1300,0:02:03.210095
2019-10-24_1400,0:02:03.884070
2019-10-24_1500,0:02:04.381399
2019-10-24_1600,0:02:03.395113
2019-10-24_1700,0:02:02.944106
2019-10-24_1800,0:02:03.123022
2019-10-24_1900,0:02:04.300170
2019-10-24_2000,0:02:02.216750
2019-10-24_2100,0:02:02.178343
2019-10-24_2200,0:02:02.886883
2019-10-24_2300,0:02:03.093471
2019-10-25_0000,0:02:03.020309
2019-10-25_0100,0:02:02.665966
2019-10-25_0200,0:02:02.105742
2019-10-25_0300,0:02:02.603834
2019-10-25_0400,0:02:02.397382
2019-10-25_0500,0:02:01.778541
2019-10-25_0600,0:02:02.262336
2019-10-25_0700,0:02:02.193359
2019-10-25_0800,0:02:02.162444
2019-10-25_0900,0:02:02.429030
2019-10-25_1000,0:02:02.304151
2019-10-25_1100,0:02:02.530052
2019-10-25_1200,0:02:02.349912
2019-10-25_1300,0:02:02.623994
2019-10-25_1400,0:02:02.074591
2019-10-25_1500,0:02:02.459490
2019-10-25_1600,0:02:03.658148
2019-10-25_1700,0:02:00.809183
2019-10-25_1800,0:02:02.567519
2019-10-25_1900,0:02:02.390862
2019-10-25_2000,0:02:02.208988
2019-10-25_2100,0:02:02.054472
2019-10-25_2200,0:02:02.295161
2019-10-25_2300,0:02:02.054403
2019-10-26_0000,0:02:02.241224
2019-10-26_0100,0:02:02.080557
2019-10-26_0200,0:02:02.029947
2019-10-26_0300,0:02:01.582502
2019-10-26_0400,0:02:01.641333
2019-10-26_0500,0:02:01.809070
2019-10-26_0600,0:02:01.674718
2019-10-26_0700,0:02:02.325117
2019-10-26_0800,0:02:01.717181
2019-10-26_0900,0:02:01.943042
2019-10-26_1000,0:02:02.441365
2019-10-26_1100,0:02:02.689245
2019-10-26_1200,0:02:02.474626
2019-10-26_1300,0:02:02.766107
2019-10-26_1400,0:02:01.944886
2019-10-26_1500,0:02:01.995222
2019-10-26_1600,0:02:01.822637
2019-10-26_1700,0:02:01.878688
2019-10-26_1800,0:02:02.196051
2019-10-26_1900,0:02:03.849501
2019-10-26_2000,0:02:02.197847
2019-10-26_2100,0:02:02.439105
2019-10-26_2200,0:02:01.963729
2019-10-26_2300,0:02:01.902342
2019-10-27_0000,0:02:02.315021
2019-10-27_0100,0:02:01.812463
2019-10-27_0200,0:02:02.034123
2019-10-27_0300,0:02:01.895289
2019-10-27_0400,0:02:02.946798
2019-10-27_0500,0:02:01.772853
2019-10-27_0600,0:02:01.647767
2019-10-27_0700,0:02:02.078092
2019-10-27_0800,0:02:03.027281
2019-10-27_0900,0:02:01.910031
2019-10-27_1000,0:02:02.118360
2019-10-27_1100,0:02:02.268837
2019-10-27_1200,0:02:01.978171
2019-10-27_1300,0:02:02.491512
2019-10-27_1400,0:02:02.400112
2019-10-27_1500,0:02:02.440314
2019-10-27_1600,0:02:02.780044
2019-10-27_1700,0:02:02.615556
2019-10-27_1800,0:02:02.273119
2019-10-27_1900,0:02:01.973078
2019-10-27_2000,0:02:02.493307
2019-10-27_2100,0:02:03.089146
2019-10-27_2200,0:02:02.690222
2019-10-27_2300,0:02:02.848573
2019-10-28_0000,0:02:02.340260
2019-10-28_0100,0:02:02.315342
2019-10-28_0200,0:02:02.442147
2019-10-28_0300,0:02:02.681529
2019-10-28_0400,0:02:02.117948
2019-10-28_0500,0:02:02.432643
2019-10-28_0600,0:02:02.171990
2019-10-28_0700,0:02:02.353383
2019-10-28_0800,0:02:01.835220
2019-10-28_0900,0:02:02.441971
2019-10-28_1000,0:02:04.211143
2019-10-28_1100,0:02:02.432348
2019-10-28_1200,0:02:02.361321
2019-10-28_1300,0:02:02.596631
2019-10-28_1400,0:02:02.483001
2019-10-28_1500,0:02:02.611401
2019-10-28_1600,0:02:02.454976
2019-10-28_1700,0:02:02.172435
2019-10-28_1800,0:02:02.132502
2019-10-28_1900,0:02:02.216734
2019-10-28_2000,0:02:02.295336
2019-10-28_2100,0:02:02.247568
2019-10-28_2200,0:02:04.337409
2019-10-28_2300,0:02:03.997162
2019-10-29_0000,0:02:02.370935
2019-10-29_0100,0:02:02.567620
2019-10-29_1200,0:02:02.960403
2019-10-29_1300,0:02:02.889388
2019-10-31_1100,0:02:02.833323
2019-10-31_1200,0:02:02.982065
2019-10-31_1300,0:02:03.195127
2019-10-31_1600,0:02:03.059129
2019-10-31_1700,0:02:02.623809
2019-10-31_1800,0:02:02.511652
2019-10-31_1900,0:02:02.595949
2019-11-02_1300,0:02:02.262035
2019-11-04_1000,0:02:03.606835
2019-11-04_1100,0:02:03.025221
2019-11-04_1200,0:02:03.328591
2019-11-04_1300,0:02:03.172524
2019-11-04_1400,0:02:02.936573
2019-11-04_1500,0:02:02.757214
2019-11-04_1600,0:02:02.395516
2019-11-04_1700,0:02:02.388603
2019-11-04_1800,0:02:02.684351
2019-11-04_1900,0:02:03.196812
2019-11-04_2000,0:02:02.989716
2019-11-04_2100,0:02:02.536857
2019-11-04_2200,0:02:02.731330
2019-11-05_1700,0:02:02.104724
2019-11-05_1800,0:02:02.090056
2019-11-05_1900,0:02:02.472006
2019-11-05_2000,0:02:02.267752
2019-11-05_2100,0:02:02.509832
2019-11-05_2200,0:02:02.101291
2019-11-05_2300,0:02:02.564612
2019-11-06_0000,0:02:02.184527
2019-11-06_0100,0:02:02.668909
2019-11-06_0200,0:02:02.546342
2019-11-06_0300,0:02:01.721276
2019-11-06_0400,0:02:02.623064
2019-11-06_0500,0:02:01.827719
2019-11-06_0600,0:02:01.817273
2019-11-06_0700,0:02:01.854234
2019-11-06_0800,0:02:01.867190
2019-11-06_0900,0:02:02.089840
2019-11-06_1000,0:02:02.717164
2019-11-06_1100,0:02:02.052666
2019-11-06_1200,0:02:02.147211
2019-11-06_1300,0:02:02.176429
2019-11-06_1400,0:02:02.058312
2019-11-06_1500,0:02:02.087561
2019-11-06_1600,0:02:02.531852
2019-11-06_1700,0:02:02.471257
2019-11-06_1800,0:02:03.176363
2019-11-06_1900,0:02:02.160656
2019-11-06_2000,0:02:03.548238
2019-11-07_1000,0:02:02.736044
2019-11-07_2000,0:02:03.252024
2019-11-07_2100,0:02:03.008789
2019-11-07_2200,0:02:02.721342
2019-11-08_1200,0:02:02.549226
2019-11-08_1300,0:02:02.242620
2019-11-10_2000,0:02:02.753640
2019-11-10_2100,0:02:02.504259
2019-11-11_1700,0:02:03.778211
2019-11-11_1800,0:02:02.262682
2019-11-11_1900,0:02:02.207996
2019-11-11_2000,0:02:02.781924
2019-11-11_2100,0:02:03.773134
2019-11-11_2300,0:02:03.071274
2019-11-12_0000,0:02:03.240886
2019-11-12_0100,0:02:02.870055
2019-11-12_0200,0:02:03.101731
2019-11-12_0300,0:02:03.271949
2019-11-12_0400,0:02:03.268134
2019-11-12_0500,0:02:02.600978
2019-11-12_0600,0:02:02.681013
2019-11-12_0700,0:02:02.695823
2019-11-12_0800,0:02:02.872097
2019-11-12_0900,0:02:02.620466
2019-11-12_1000,0:02:02.907910
2019-11-12_1100,0:02:03.074978
2019-11-12_1200,0:02:02.696311
2019-11-12_1300,0:02:02.290909
2019-11-12_1400,0:02:02.801489
2019-11-12_1500,0:02:02.466051
2019-11-12_1600,0:02:02.250747
2019-11-12_1700,0:02:03.407226
2019-11-12_1800,0:02:02.864776
2019-11-12_1900,0:02:02.891470
2019-11-12_2000,0:02:02.351856
2019-11-12_2100,0:02:02.843858
2019-11-12_2200,0:02:02.816991
2019-11-12_2300,0:02:05.429796
2019-11-13_0000,0:02:02.097323
2019-11-13_0100,0:02:03.543823
2019-11-13_0200,0:02:03.616183
2019-11-13_0300,0:02:02.603716
2019-11-13_0400,0:02:02.292957
2019-11-13_0500,0:02:02.787277
2019-11-13_0600,0:02:02.473208
2019-11-13_0700,0:02:02.741975
2019-11-13_0800,0:02:02.608473
2019-11-13_0900,0:02:02.490402
2019-11-13_1000,0:02:05.899466
2019-11-13_1100,0:02:02.182422
2019-11-13_1200,0:02:02.651290
2019-11-13_1300,0:02:02.952144
2019-11-13_1400,0:02:02.413447
2019-11-13_1500,0:02:02.738460
2019-11-13_1600,0:02:02.458553
2019-11-13_1700,0:02:02.516022
2019-11-13_1800,0:02:02.915825
2019-11-13_1900,0:02:02.494126
2019-11-13_2000,0:02:02.881195
2019-11-13_2100,0:02:02.527657
2019-11-13_2200,0:02:04.211113
2019-11-13_2300,0:02:03.636025
2019-11-14_0000,0:02:02.992025
2019-11-14_0100,0:02:04.295558
2019-11-14_0200,0:02:02.280213
2019-11-14_0300,0:02:01.981739
2019-11-14_0400,0:02:02.598006
2019-11-14_0500,0:02:02.175916
2019-11-14_0600,0:02:02.038956
2019-11-14_0700,0:02:01.682049
2019-11-14_0800,0:02:02.516260
2019-11-14_0900,0:02:01.738457
2019-11-14_1000,0:02:02.187164
2019-11-14_1100,0:02:02.155852
2019-11-14_1200,0:02:02.468217
2019-11-14_1300,0:02:02.547152
2019-11-14_1400,0:02:02.127668
2019-11-14_1500,0:02:03.344275
2019-11-14_1600,0:02:02.440350
2019-11-14_1700,0:02:02.320544
2019-11-14_1800,0:02:02.202913
2019-11-14_1900,0:02:02.543749
2019-11-14_2000,0:02:02.685119
2019-11-14_2100,0:02:02.435392
2019-11-14_2200,0:02:02.988122
2019-11-14_2300,0:02:02.243610
2019-11-15_0900,0:02:03.218803
